A,0,0,-5
A,0,1,-5
A,0,2,-1
A,0,3,1
A,0,4,-2
A,0,5,-8
A,0,6,7
A,0,7,-2
A,0,8,9
A,0,9,0
A,0,10,0
A,0,11,-4
A,0,12,-1
A,0,13,-1
A,0,14,0
A,0,15,-2
A,0,16,1
A,0,17,-8
A,0,18,-5
A,0,19,-7
A,0,20,0
A,0,21,-9
A,0,22,-1
A,0,23,-5
A,0,24,1
A,0,25,0
A,0,26,-6
A,0,27,5
A,0,28,2
A,0,29,-4
A,0,30,3
A,0,31,0
A,0,32,1
A,0,33,8
A,0,34,-9
A,0,35,-5
A,0,36,2
A,0,37,-3
A,0,38,1
A,0,39,-6
A,0,40,2
A,0,41,0
A,0,42,-4
A,0,43,9
A,0,44,5
A,0,45,-6
A,0,46,-3
A,0,47,4
A,0,48,7
A,0,49,-4
A,0,50,-9
A,0,51,-5
A,0,52,-8
A,0,53,-4
A,0,54,-2
A,0,55,3
A,0,56,-8
A,0,57,4
A,0,58,6
A,0,59,1
A,0,60,1
A,0,61,0
A,0,62,4
A,0,63,7
A,0,64,7
A,0,65,7
A,0,66,-1
A,0,67,-3
A,0,68,1
A,0,69,-2
A,0,70,-7
A,0,71,2
A,0,72,-6
A,0,73,-7
A,0,74,-4
A,0,75,8
A,0,76,3
A,0,77,9
A,0,78,-2
A,0,79,-9
A,0,80,-3
A,0,81,6
A,0,82,4
A,0,83,-9
A,0,84,-4
A,0,85,6
A,0,86,5
A,0,87,6
A,0,88,6
A,0,89,8
A,0,90,4
A,0,91,-8
A,0,92,3
A,0,93,2
A,0,94,4
A,0,95,0
A,0,96,-7
A,0,97,6
A,0,98,3
A,0,99,8
A,1,0,-5
A,1,1,6
A,1,2,-6
A,1,3,8
A,1,4,-7
A,1,5,2
A,1,6,-8
A,1,7,-5
A,1,8,-9
A,1,9,2
A,1,10,9
A,1,11,-9
A,1,12,0
A,1,13,7
A,1,14,7
A,1,15,-3
A,1,16,-5
A,1,17,-7
A,1,18,1
A,1,19,2
A,1,20,-1
A,1,21,7
A,1,22,-6
A,1,23,-2
A,1,24,0
A,1,25,9
A,1,26,-3
A,1,27,-8
A,1,28,-1
A,1,29,-1
A,1,30,5
A,1,31,-9
A,1,32,0
A,1,33,6
A,1,34,-3
A,1,35,1
A,1,36,-5
A,1,37,7
A,1,38,-7
A,1,39,-4
A,1,40,2
A,1,41,-4
A,1,42,-1
A,1,43,8
A,1,44,-5
A,1,45,3
A,1,46,-4
A,1,47,-1
A,1,48,-5
A,1,49,6
A,1,50,-7
A,1,51,-2
A,1,52,1
A,1,53,4
A,1,54,0
A,1,55,-9
A,1,56,8
A,1,57,-1
A,1,58,7
A,1,59,5
A,1,60,-1
A,1,61,-4
A,1,62,2
A,1,63,2
A,1,64,-2
A,1,65,-7
A,1,66,7
A,1,67,4
A,1,68,6
A,1,69,0
A,1,70,7
A,1,71,-1
A,1,72,-1
A,1,73,7
A,1,74,1
A,1,75,0
A,1,76,6
A,1,77,4
A,1,78,-7
A,1,79,-1
