v,0,7
v,1,9
v,2,1
v,3,10
v,4,9
v,5,0
v,6,1
v,7,5
v,8,4
v,9,0
v,10,10
v,11,6
v,12,1
v,13,4
v,14,4
v,15,5
v,16,7
v,17,6
v,18,5
v,19,2
v,20,5
v,21,4
v,22,8
v,23,6
v,24,2
v,25,7
v,26,0
v,27,4
v,28,8
v,29,2
v,30,6
v,31,3
v,32,1
v,33,5
v,34,2
v,35,4
v,36,9
v,37,3
v,38,0
v,39,10
v,40,7
v,41,6
v,42,4
v,43,2
v,44,10
v,45,2
v,46,0
v,47,8
v,48,10
v,49,5
v,50,5
v,51,5
v,52,0
v,53,8
v,54,7
v,55,4
v,56,0
v,57,2
v,58,6
v,59,2
v,60,3
v,61,3
v,62,5
v,63,3
v,64,8
v,65,5
v,66,9
v,67,2
v,68,9
v,69,2
v,70,3
v,71,4
v,72,10
v,73,10
v,74,5
v,75,7
v,76,8
v,77,9
v,78,0
v,79,2
v,80,8
v,81,9
v,82,0
v,83,0
v,84,4
v,85,2
v,86,5
v,87,0
v,88,9
v,89,8
v,90,3
v,91,7
v,92,5
v,93,1
v,94,2
v,95,3
v,96,6
v,97,2
v,98,3
v,99,4
